[2026-04-11T19:29:33 poll=41] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (1/80 @8.045907)
[2026-04-11T19:34:33 poll=42] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (1/80 @8.045907)
[2026-04-11T19:39:34 poll=43] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (1/80 @8.045907)
[2026-04-11T19:44:34 poll=44] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (2/80 @1.084815)
[2026-04-11T19:49:34 poll=45] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (2/80 @1.084815)
[2026-04-11T19:54:34 poll=46] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (2/80 @1.084815)
[2026-04-11T19:59:34 poll=47] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (2/80 @1.084815)
[2026-04-11T20:04:34 poll=48] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (3/80 @1.000652)
[2026-04-11T20:09:34 poll=49] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (3/80 @1.000652)
[2026-04-11T20:14:35 poll=50] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (3/80 @1.000652)
[2026-04-11T20:19:35 poll=51] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (4/80 @0.224221)
[2026-04-11T20:24:35 poll=52] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (4/80 @0.224221)
[2026-04-11T20:29:35 poll=53] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (4/80 @0.224221)
[2026-04-11T20:34:35 poll=54] full_m1_pareto=ALIVE:932151 (1/48 @8.946221) | full_igsd_pareto=ALIVE:964696 (4/80 @0.224221)
[2026-04-11T20:39:35 poll=55] full_m1_pareto=ALIVE:932151 (1/48 @8.946221) | full_igsd_pareto=ALIVE:964696 (4/80 @0.224221)
[2026-04-11T20:44:36 poll=56] full_m1_pareto=ALIVE:932151 (1/48 @8.946221) | full_igsd_pareto=ALIVE:964696 (4/80 @0.224221)
[2026-04-11T20:49:36 poll=57] full_m1_pareto=ALIVE:932151 (1/48 @8.946221) | full_igsd_pareto=ALIVE:964696 (4/80 @0.224221)
[2026-04-11T20:54:36 poll=58] full_m1_pareto=ALIVE:932151 (1/48 @8.946221) | full_igsd_pareto=ALIVE:964696 (4/80 @0.224221)
[2026-04-11T20:59:36 poll=59] full_m1_pareto=ALIVE:932151 (1/48 @8.946221) | full_igsd_pareto=ALIVE:964696 (4/80 @0.224221)
[2026-04-11T21:04:36 poll=60] full_m1_pareto=ALIVE:932151 (1/48 @8.946221) | full_igsd_pareto=ALIVE:964696 (4/80 @0.224221)
[2026-04-11T21:09:36 poll=61] full_m1_pareto=ALIVE:932151 (1/48 @8.946221) | full_igsd_pareto=ALIVE:964696 (4/80 @0.224221)
[2026-04-11T21:14:36 poll=62] full_m1_pareto=ALIVE:932151 (1/48 @8.946221) | full_igsd_pareto=ALIVE:964696 (4/80 @0.224221)
[2026-04-11T21:19:36 poll=63] full_m1_pareto=ALIVE:932151 (1/48 @8.946221) | full_igsd_pareto=ALIVE:964696 (4/80 @0.224221)
[2026-04-11T21:24:37 poll=64] full_m1_pareto=ALIVE:932151 (1/48 @8.946221) | full_igsd_pareto=ALIVE:964696 (4/80 @0.224221)
[2026-04-11T21:29:37 poll=65] full_m1_pareto=ALIVE:932151 (1/48 @8.946221) | full_igsd_pareto=ALIVE:964696 (4/80 @0.224221)
[2026-04-11T21:34:37 poll=66] full_m1_pareto=ALIVE:932151 (1/48 @8.946221) | full_igsd_pareto=ALIVE:964696 (4/80 @0.224221)
[2026-04-11T21:39:37 poll=67] full_m1_pareto=ALIVE:932151 (1/48 @8.946221) | full_igsd_pareto=ALIVE:964696 (4/80 @0.224221)
[2026-04-11T21:44:37 poll=68] full_m1_pareto=ALIVE:932151 (1/48 @8.946221) | full_igsd_pareto=ALIVE:964696 (4/80 @0.224221)
[2026-04-11T21:49:37 poll=69] full_m1_pareto=ALIVE:932151 (1/48 @8.946221) | full_igsd_pareto=ALIVE:964696 (4/80 @0.224221)
[2026-04-11T21:54:37 poll=70] full_m1_pareto=ALIVE:932151 (1/48 @8.946221) | full_igsd_pareto=ALIVE:964696 (4/80 @0.224221)
[2026-04-11T21:59:38 poll=71] full_m1_pareto=ALIVE:932151 (1/48 @8.946221) | full_igsd_pareto=ALIVE:964696 (4/80 @0.224221)
[2026-04-11T22:04:38 poll=72] full_m1_pareto=ALIVE:932151 (1/48 @8.946221) | full_igsd_pareto=ALIVE:964696 (4/80 @0.224221)
